smelly,lines_code,lines_blank,lines_comment,num_keys,num_suspicious_comments,num_tokens,text_entropy,num_imports,num_inputs,num_interfaces,num_node_templates,num_node_types,num_parameters,num_properties,num_relationship_templates,num_relationship_types,num_shell_scripts
0,17.0,0.0,0.0,17.0,0.0,43.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0,17.0,0.0,0.0,15.0,0.0,24.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18.0,0.0,0.0,18.0,0.0,28.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,10.0,0.0,0.0,10.0,0.0,22.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,5.0,0.0,0.0,5.0,0.0,7.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,2.0,0.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,2.0,0.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11.0,0.0,0.0,11.0,0.0,24.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,17.0,0.0,0.0,17.0,0.0,43.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0,17.0,0.0,0.0,15.0,0.0,24.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18.0,0.0,0.0,18.0,0.0,28.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,10.0,0.0,0.0,10.0,0.0,22.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,5.0,0.0,0.0,5.0,0.0,7.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,2.0,0.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,2.0,0.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11.0,0.0,0.0,11.0,0.0,24.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
