lcot,lines_code,num_capabilities,num_imports,num_inputs,num_interfaces,num_keys,num_node_templates,num_node_types,num_properties,num_relationship_templates,num_relationship_types,num_requirements,num_suspicious_comments,num_tokens,text_entropy,url
6.0,83.0,1.0,3.0,0.0,0.0,80.0,6.0,0.0,13.0,0.0,0.0,7.0,0.0,147.0,5.97,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/doc/kube/topology/04-simple-apache-emptyDir/tosca.yaml
3.0,44.0,1.0,2.0,0.0,0.0,43.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,80.0,5.87,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-apache-load-balancer-service/topology-apache-load-balancer-service.yml
1.0,22.0,0.0,4.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,4.98,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/patches/amqp_client/types.yml
2.0,63.0,2.0,1.0,0.0,1.0,65.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,125.0,6.43,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/mongo/mongo-type.yml
2.0,131.0,5.0,6.0,0.0,2.0,150.0,0.0,2.0,17.0,0.0,0.0,1.0,0.0,363.0,7.06,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/manager/v3/types.yml
5.0,79.0,4.0,3.0,0.0,0.0,75.0,5.0,0.0,15.0,0.0,0.0,7.0,0.0,132.0,5.75,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/sandbox/services/dummy/topologies/remote/types.yml
9.0,266.0,5.0,2.0,0.0,9.0,282.0,0.0,9.0,8.0,0.0,6.0,10.0,0.0,510.0,6.88,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/kubernetes/kubernetes-cluster-types.yml
1.0,33.0,1.0,1.0,0.0,1.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.0,5.98,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/nodejs/nodejs-type.yml
1.0,61.0,1.0,2.0,0.0,1.0,67.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,138.0,6.52,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/www/http-proxy/squid3/linux_sh/tosca.yml
2.0,36.0,1.0,2.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,61.0,5.35,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/monitoring/diamond/pub/types.yml
1.0,41.0,0.0,3.0,0.0,1.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,67.0,5.54,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/postdeployment/types.yml
1.0,81.0,0.0,4.0,0.0,4.0,89.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,205.0,6.68,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/www/wordpress/wordpress-type.yml
1.0,104.0,1.0,3.0,0.0,5.0,116.0,0.0,1.0,7.0,0.0,3.0,3.0,0.0,196.0,6.2,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/demo/spark-jobs/tosca.yml
0.0,13.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,5.15,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/lang/shell/utils/types.yml
11.0,1474.0,9.0,17.0,0.0,0.0,1250.0,12.0,0.0,64.0,0.0,0.0,13.0,0.0,2076.0,6.62,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/topologies/a4c_aws_byon/types.yml
4.0,45.0,2.0,2.0,0.0,0.0,43.0,4.0,0.0,7.0,0.0,0.0,3.0,0.0,80.0,5.76,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/demo-service-operations/topology/demo-service-op-topology/demo-service-op-topology.yaml
1.0,71.0,0.0,5.0,0.0,3.0,80.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,179.0,6.38,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/config/offline_plugin/types.yml
1.0,113.0,2.0,1.0,0.0,3.0,133.0,0.0,1.0,7.0,0.0,2.0,2.0,0.0,354.0,7.07,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/apache-load-balancer/apache-load-balancer-type.yml
2.0,39.0,4.0,3.0,0.0,0.0,37.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,62.0,5.48,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/sandbox/services/dummy/topologies/service/types.yml
2.0,132.0,1.0,3.0,0.0,4.0,138.0,0.0,2.0,8.0,0.0,3.0,3.0,0.0,281.0,6.66,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/alien/alien-type.yml
5.0,79.0,4.0,5.0,0.0,0.0,77.0,6.0,0.0,16.0,0.0,0.0,6.0,0.0,158.0,6.25,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/topology-wordpress/wordpress-template.yml
1.0,30.0,0.0,4.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,5.59,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/location_resources/autoconfig/types.yml
5.0,101.0,4.0,2.0,0.0,1.0,100.0,4.0,1.0,19.0,0.0,0.0,3.0,0.0,160.0,6.33,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/demo-repository/repository-types.yml
1.0,57.0,0.0,5.0,0.0,2.0,66.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,136.0,6.13,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/orchestrator/cfy/types.yml
1.0,58.0,2.0,2.0,0.0,1.0,58.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,124.0,6.49,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/nginx/nginx-type.yml
1.0,39.0,1.0,1.0,0.0,1.0,44.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,79.0,5.48,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/demo/hdfs-repository/tosca.yml
5.0,343.0,7.0,5.0,0.0,7.0,404.0,0.0,5.0,37.0,0.0,2.0,4.0,0.0,980.0,7.25,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/manager/v4/types.yml
1.0,77.0,0.0,5.0,0.0,2.0,85.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,168.0,6.15,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/location_resources/cfy_byon/types.yml
1.0,59.0,0.0,4.0,0.0,2.0,67.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,148.0,6.21,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/petclinic-war/petclinic-war-type.yml
