ari,mcc,precision,recall,statistic
100.0,100.0,100.0,100.0,count
0.508014,0.6588680000000001,0.49938099999999996,1.0,mean
0.049396397079589156,0.04271498655937605,0.06101383962063465,0.0,std
0.3755,0.5519,0.36,1.0,min
0.48567499999999997,0.646875,0.4839,1.0,25%
0.5102,0.66265,0.5,1.0,50%
0.5331,0.6815,0.53295,1.0,75%
0.581,0.7207,0.5893,1.0,max
