,features,median_mcc,median_precision,median_recall
0,['lines_code'],0.8007,0.7,1.0
1,"['lines_code', 'num_imports']",0.7582,0.625,1.0
2,"['lines_code', 'num_imports', 'lcot']",0.69375,0.5455,1.0
3,"['lines_code', 'num_imports', 'lcot', 'num_types_and_templates']",0.70305,0.5556,1.0
4,"['lines_code', 'num_imports', 'lcot', 'num_types_and_templates', 'num_properties']",0.6474,0.4839,1.0
5,"['lines_code', 'num_imports', 'lcot', 'num_types_and_templates', 'num_properties', 'num_interfaces']",0.5405,0.375,1.0
