ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.4842,0.68,0.0,32.0,0.6599,0.5152,1.0,175.0,34.0
0.6077,0.6667,6.0,0.0,0.6891,1.0,0.5,113.0,6.0
0.4837,0.5926,4.0,7.0,0.5482,0.5333,0.6667,106.0,8.0
0.4458,0.6275,0.0,19.0,0.6217,0.4571,1.0,104.0,16.0
0.5613,0.6667,9.0,6.0,0.6247,0.7143,0.625,163.0,15.0
0.5775,0.6842,4.0,8.0,0.6456,0.619,0.7647,131.0,13.0
0.4995,0.6939,0.0,30.0,0.6717,0.5312,1.0,169.0,34.0
0.5869,0.7164,7.0,12.0,0.6681,0.6667,0.7742,176.0,24.0
0.5047,0.6966,0.0,27.0,0.6747,0.5345,1.0,155.0,31.0
0.5945,0.7,4.0,8.0,0.6623,0.6364,0.7778,135.0,14.0
0.4485,0.64,0.0,27.0,0.6288,0.4706,1.0,142.0,24.0
0.4611,0.5556,3.0,5.0,0.5156,0.5,0.625,86.0,5.0
0.5047,0.6966,0.0,27.0,0.6747,0.5345,1.0,155.0,31.0
0.5873,0.7018,11.0,6.0,0.6595,0.7692,0.6452,176.0,20.0
0.5938,0.7,4.0,8.0,0.662,0.6364,0.7778,134.0,14.0
0.4962,0.6563,3.0,19.0,0.6201,0.525,0.875,148.0,21.0
0.4825,0.6122,9.0,10.0,0.555,0.6,0.625,156.0,15.0
0.4475,0.5455,3.0,7.0,0.5103,0.4615,0.6667,101.0,6.0
0.4448,0.64,0.0,27.0,0.6277,0.4706,1.0,139.0,24.0
0.5998,0.6667,7.0,0.0,0.6867,1.0,0.5,116.0,7.0
0.4937,0.6869,0.0,31.0,0.6663,0.5231,1.0,174.0,34.0
