fn,fp,mcc,precision,recall,f1,ari,tn,tp,statistic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,count
13.57,1.55,0.507133,0.8160299999999998,0.376805,0.49455899999999997,0.41615700000000005,147.01,6.66,mean
7.7005247099195016,0.6415731927193979,0.0981884017251189,0.07615633641239299,0.13749552967939788,0.12699480868654958,0.12546756613772841,37.55951371765975,1.944793619441976,std
3.0,0.0,0.2058,0.7143,0.0476,0.0909,0.071,85.0,1.0,min
8.0,1.0,0.42457500000000004,0.77085,0.2605,0.4,0.31362500000000004,116.5,5.0,25%
11.0,2.0,0.5538,0.8,0.3889,0.5385,0.4596,148.0,7.0,50%
20.0,2.0,0.57035,0.875,0.4667,0.5833,0.49475,177.0,8.0,75%
32.0,4.0,0.642,1.0,0.625,0.6667,0.6034,214.0,14.0,max
