ari,fn,fp,statistic,mcc,precision,recall,f1,tn,tp
100.0,100.0,100.0,count,100.0,100.0,100.0,100.0,100.0,100.0
0.721515,0.34,8.67,mean,0.7951900000000001,0.6820449999999998,0.989619,0.8058269999999998,140.18,19.89
0.03893237954155483,0.669991708074726,2.4123210667929196,std,0.031231968535234193,0.05547525497139616,0.020189109450494343,0.03731560416422887,35.80315995308602,8.074019939274239
0.6372,0.0,5.0,min,0.7291,0.5714,0.9355,0.7273,80.0,8.0
0.7034750000000001,0.0,6.0,25%,0.782275,0.6562,1.0,0.7925,109.25,14.25
0.7272,0.0,9.0,50%,0.8007,0.7,1.0,0.8205,148.0,21.0
0.7433,0.0,11.0,75%,0.8134,0.7273,1.0,0.8333,168.0,26.0
0.7936,2.0,12.0,max,0.8471,0.7632,1.0,0.8571,203.0,32.0
