ari,fn,fp,mcc,precision,recall,f1,tn,tp,statistic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,count
0.5074819999999999,5.98,11.12,0.594977,0.5942539999999998,0.7209369999999999,0.6358809999999999,143.39,15.69,mean
0.07330469878968512,3.2097704376833964,5.470360909926189,0.06192830304619866,0.10005240083641828,0.12982104205638648,0.06817141006686783,30.659055379572226,5.811335144492714,std
0.256,0.0,1.0,0.3682,0.2812,0.2667,0.4,83.0,4.0,min
0.48245000000000005,3.75,6.75,0.5851000000000001,0.547075,0.663075,0.622425,121.0,11.75,25%
0.5321,6.0,10.0,0.61955,0.619,0.7097,0.6667,144.5,15.0,50%
0.5589000000000001,7.25,16.0,0.6287,0.6765,0.8235,0.6766,164.0,20.0,75%
0.5954,16.0,27.0,0.6597,0.8,1.0,0.7097,205.0,28.0,max
