ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.5528,0.6957,7.0,14.0,0.6432,0.6316,0.7742,171.0,24.0
0.5488,0.6452,7.0,4.0,0.6079,0.7143,0.5882,128.0,10.0
0.5824,0.7037,5.0,11.0,0.6612,0.6333,0.7917,156.0,19.0
0.5245,0.6341,8.0,7.0,0.5871,0.65,0.619,151.0,13.0
0.5511,0.65,9.0,5.0,0.6121,0.7222,0.5909,159.0,13.0
0.5849,0.6667,8.0,2.0,0.6494,0.8333,0.5556,139.0,10.0
0.3637,0.48,4.0,9.0,0.4325,0.4,0.6,100.0,6.0
0.5458,0.6452,7.0,4.0,0.6067,0.7143,0.5882,124.0,10.0
0.3104,0.3871,18.0,1.0,0.4312,0.8571,0.25,170.0,6.0
0.505,0.6,3.0,5.0,0.5614,0.5455,0.6667,90.0,6.0
0.3789,0.5455,5.0,15.0,0.4859,0.4444,0.7059,112.0,12.0
0.5534,0.6316,3.0,4.0,0.5989,0.6,0.6667,100.0,6.0
0.561,0.6452,8.0,3.0,0.6197,0.7692,0.5556,146.0,10.0
0.5411,0.6552,15.0,5.0,0.6201,0.7917,0.5588,195.0,19.0
0.5665,0.6667,9.0,5.0,0.6288,0.7368,0.6087,160.0,14.0
0.4066,0.48,12.0,1.0,0.5058,0.8571,0.3333,150.0,6.0
0.6895,0.75,2.0,2.0,0.7267,0.75,0.75,84.0,6.0
0.5908,0.6667,3.0,3.0,0.6351,0.6667,0.6667,92.0,6.0
0.5623,0.6667,4.0,6.0,0.6252,0.625,0.7143,110.0,10.0
0.4896,0.6071,17.0,5.0,0.5735,0.7727,0.5,195.0,17.0
0.4464,0.5217,11.0,0.0,0.5701,1.0,0.3529,128.0,6.0
0.554,0.6667,6.0,9.0,0.6217,0.625,0.7143,152.0,15.0
