fn,fp,mcc,precision,recall,f1,ari,tn,tp,statistic
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,count
4.52,13.64,0.629223,0.633122,0.7727170000000001,0.6493869999999998,0.5172629999999999,142.29,17.37,mean
5.366337275793962,10.139949992903608,0.05812643630027301,0.17237323234273594,0.20794276944545695,0.06780566952100626,0.07574373015356292,30.094563084928264,8.756705944012223,std
0.0,0.0,0.4107,0.4375,0.2258,0.359,0.2776,86.0,4.0,min
0.0,7.0,0.617925,0.5211250000000001,0.6452,0.63625,0.47025,119.0,12.0,25%
4.0,11.0,0.63915,0.6,0.76945,0.6667,0.52205,141.5,16.0,50%
6.0,23.0,0.6651,0.654175,1.0,0.6897,0.576175,166.0,23.0,75%
26.0,32.0,0.7307,1.0,1.0,0.7164,0.6664,215.0,34.0,max
